method,path,headers,body,body_length,num_commas,num_hyphens,num_brackets,num_quotes,num_double_quotes,num_slashes,num_braces,num_spaces,has_sql_keywords,has_xss_payload,has_csrf_token,response_status,response_time,nature
GET,http://demo.testfire.net,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,627,crawl_req
GET,http://demo.testfire.net/robots.txt,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache'}",,0,0,0,0,0,0,0,0,0,0,0,0,404,619,crawl_req
GET,http://demo.testfire.net/sitemap.xml,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache'}",,0,0,0,0,0,0,0,0,0,0,0,0,404,610,crawl_req
GET,http://demo.testfire.net/index.jsp?content=inside_contact.htm,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'referer': 'http://demo.testfire.net/sitemap.xml', 'Cookie': 'JSESSIONID=DBC3ECE57E2981584AF8E37A31CDA064'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,281,crawl_req
GET,http://demo.testfire.net/index.jsp,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'referer': 'http://demo.testfire.net/sitemap.xml', 'Cookie': 'JSESSIONID=DBC3ECE57E2981584AF8E37A31CDA064'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,281,crawl_req
GET,http://demo.testfire.net/feedback.jsp,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'referer': 'http://demo.testfire.net/sitemap.xml', 'Cookie': 'JSESSIONID=DBC3ECE57E2981584AF8E37A31CDA064'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,555,crawl_req
GET,http://demo.testfire.net/index.jsp?content=personal.htm,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'referer': 'http://demo.testfire.net/sitemap.xml', 'Cookie': 'JSESSIONID=DBC3ECE57E2981584AF8E37A31CDA064'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,517,crawl_req
GET,http://demo.testfire.net/login.jsp,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'referer': 'http://demo.testfire.net', 'Cookie': 'JSESSIONID=DBC3ECE57E2981584AF8E37A31CDA064'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,530,crawl_req
GET,http://demo.testfire.net/index.jsp?content=business.htm,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'referer': 'http://demo.testfire.net/sitemap.xml', 'Cookie': 'JSESSIONID=DBC3ECE57E2981584AF8E37A31CDA064'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,517,crawl_req
GET,http://demo.testfire.net/index.jsp?content=inside.htm,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'referer': 'http://demo.testfire.net/sitemap.xml', 'Cookie': 'JSESSIONID=DBC3ECE57E2981584AF8E37A31CDA064'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,554,crawl_req
GET,http://demo.testfire.net/index.jsp?content=personal_deposit.htm,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'referer': 'http://demo.testfire.net/sitemap.xml', 'Cookie': 'JSESSIONID=DBC3ECE57E2981584AF8E37A31CDA064'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,554,crawl_req
GET,http://demo.testfire.net/index.jsp?content=personal_checking.htm,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'referer': 'http://demo.testfire.net', 'Cookie': 'JSESSIONID=DBC3ECE57E2981584AF8E37A31CDA064'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,539,crawl_req
GET,http://demo.testfire.net/index.jsp?content=personal_loans.htm,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'referer': 'http://demo.testfire.net/sitemap.xml', 'Cookie': 'JSESSIONID=DBC3ECE57E2981584AF8E37A31CDA064'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,523,crawl_req
GET,http://demo.testfire.net/index.jsp?content=personal_cards.htm,"{'host': 'demo.testfire.net', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'referer': 'http://demo.testfire.net', 'Cookie': 'JSESSIONID=DBC3ECE57E2981584AF8E37A31CDA064'}",,0,0,0,0,0,0,0,0,0,0,0,0,200,292,crawl_req
